TableId,TableName,No.,Name,Account Type,Income/Balance,Direct Posting
15,G/L Account,12000,Bank-Verrechnung EUR,Posting,Balance Sheet,false
15,G/L Account,14000,Forderungen aus Lieferungen und Leistungen,Posting,Balance Sheet,false
15,G/L Account,15760,Abziehbare Vorsteuer 19 Prozent,Posting,Balance Sheet,false
15,G/L Account,16000,Warenbestand Handelsware,Posting,Balance Sheet,false
15,G/L Account,29000,Eigenkapital-Verrechnung,Posting,Balance Sheet,false
15,G/L Account,33000,Verbindlichkeiten aus Lieferungen und Leistungen,Posting,Balance Sheet,false
15,G/L Account,38000,Umsatzsteuer 19 Prozent,Posting,Balance Sheet,false
15,G/L Account,44000,Erlöse Handelsware 19 Prozent,Posting,Income Statement,false
15,G/L Account,50000,Wareneingang Handelsware,Posting,Income Statement,false
15,G/L Account,50100,Wareneinsatz Handelsware,Posting,Income Statement,false
15,G/L Account,69000,Inventurdifferenzen,Posting,Income Statement,false
